environment,host_os,host_arch,host_cpu,execution_backend,qemu_version,benchmark,p50,p95,p99,mean,min,max,unit
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,F,62300,98970,106110,59037,34000,106110,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,G,62000,128130,376430,71613,35740,376430,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,H,57470,68880,87210,56006,34640,87210,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,I,54280,62500,65030,51622,34580,65030,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,J,46350,61330,82670,46497,32400,82670,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,K,14090,16850,17100,13398,8260,17100,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),A,0,0,10,0,0,10,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),B,3,3,12,3,3,12,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),C,68,71,87,68,68,87,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),D,4,4,12,4,3,12,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),E,421,428,428,420,412,428,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),F,1086,1119,1133,1090,1079,1133,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),G,1086,1126,1132,1091,1080,1132,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),H,1084,1131,1140,1091,1079,1140,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),I,1156,1206,1246,1165,1151,1246,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),J,1054,1093,1114,1059,1048,1114,generic-counter-ticks
github-ubuntu-arm64,Linux,aarch64,Neoverse-N2,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),K,222,231,262,224,220,262,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,A,0,10,170,7,0,170,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,B,60,70,220,61,50,220,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,C,1250,1520,1740,1279,1220,1740,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,D,60,80,200,68,60,200,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,E,5980,6580,6910,6065,5790,6910,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,F,15360,16570,18700,15451,14740,18700,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,G,15410,18060,20700,15740,14740,20700,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,H,15100,16400,17660,15332,14750,17660,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,I,15520,16710,20210,15758,14940,20210,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,J,14300,15060,16140,14318,13680,16140,generic-counter-ticks
github-macos-arm64,macOS,arm64,Apple M1 (Virtual),tcg,QEMU emulator version 11.1.1,K,3710,4080,4300,3777,3690,4300,generic-counter-ticks
